"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHOSIS_000001","PUBLISHED","2019","AFR","","CIV","BTSX","62.9","62.91527","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","CMR","FMLE","54.4","54.35109","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","CMR","BTSX","52.8","52.82113","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","COD","MLE","50.5","50.46237","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","COD","FMLE","54.5","54.48838","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","COD","BTSX","52.4","52.44439","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AFR","","COG","MLE","61.0","60.98846","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AFR","","COG","FMLE","60.8","60.84641","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AFR","","COG","BTSX","61.0","60.95192","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","COL","MLE","74.0","74.00397","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","COL","FMLE","80.1","80.14824","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","COL","BTSX","77.1","77.09467","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","COM","MLE","65.1","65.06989","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","COM","FMLE","67.8","67.84341","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","COM","BTSX","66.5","66.45436","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","CPV","MLE","72.2","72.17604","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","CPV","FMLE","77.6","77.58920","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","CPV","BTSX","74.9","74.88204","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","CPV","BTSX","74.0","74.03075","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","CRI","MLE","78.3","78.31458","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","CRI","FMLE","83.4","83.43867","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","CRI","BTSX","80.8","80.84692","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","CUB","MLE","75.4","75.36885","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","CUB","FMLE","80.3","80.25120","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","CYP","MLE","76.5","76.52765","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","CYP","FMLE","81.0","80.98973","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","CYP","BTSX","78.7","78.74654","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","CZE","MLE","71.5","71.53430","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","CZE","FMLE","78.3","78.28870","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","CZE","BTSX","75.0","74.95213","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","DEU","MLE","77.8","77.77688","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","DEU","FMLE","82.5","82.53684","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","DEU","BTSX","80.2","80.16794","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EMR","","DJI","MLE","60.6","60.63437","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EMR","","DJI","FMLE","63.3","63.25947","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EMR","","DJI","BTSX","61.9","61.86740","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EMR","","DJI","BTSX","64.6","64.64274","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","DNK","MLE","78.8","78.79980","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","DNK","FMLE","82.4","82.35448","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","DNK","BTSX","80.6","80.59389","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","DOM","MLE","68.6","68.62415","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","DOM","FMLE","75.2","75.20355","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","DOM","BTSX","72.8","72.84367","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","DZA","MLE","76.2","76.22712","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","DZA","FMLE","78.1","78.12115","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","DZA","BTSX","77.1","77.13415","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","ECU","MLE","76.4","76.41323","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","ECU","FMLE","80.5","80.50043","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AMR","","ECU","BTSX","74.5","74.53304","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EMR","","EGY","MLE","67.3","67.28972","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EMR","","EGY","FMLE","72.4","72.41843","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EMR","","EGY","BTSX","69.8","69.82364","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","ERI","MLE","51.2","51.16452","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","ERI","FMLE","58.5","58.48181","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AFR","","ERI","BTSX","60.7","60.69732","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","ESP","MLE","78.8","78.76283","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","ESP","FMLE","84.6","84.58403","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","ESP","BTSX","81.7","81.69273","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","EST","MLE","70.9","70.85741","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","EST","FMLE","80.4","80.44887","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","EST","BTSX","77.6","77.60223","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","ETH","MLE","65.0","65.03864","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","ETH","FMLE","68.6","68.64172","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","ETH","BTSX","66.8","66.82242","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","FIN","MLE","78.5","78.52988","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","FIN","FMLE","83.9","83.85168","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","FIN","FMLE","84.0","84.03592","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","FIN","BTSX","81.6","81.61240","","","","",""
"WHOSIS_000001","PUBLISHED","2019","WPR","","FJI","MLE","65.9","65.93024","","","","",""
"WHOSIS_000001","PUBLISHED","2019","WPR","","FJI","FMLE","70.3","70.28452","","","","",""
"WHOSIS_000001","PUBLISHED","2019","WPR","","FJI","BTSX","68.0","68.01035","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","FRA","MLE","79.8","79.75678","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","FRA","BTSX","78.9","78.91328","","","","",""
"WHOSIS_000001","PUBLISHED","2000","WPR","","FSM","MLE","58.5","58.45256","","","","",""
"WHOSIS_000001","PUBLISHED","2000","WPR","","FSM","FMLE","64.2","64.20377","","","","",""
"WHOSIS_000001","PUBLISHED","2000","WPR","","FSM","BTSX","61.2","61.19261","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","GAB","MLE","56.1","56.14642","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","GAB","FMLE","60.1","60.10243","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AFR","","GAB","BTSX","62.2","62.16494","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","GBR","MLE","78.3","78.34451","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","GBR","FMLE","82.1","82.09373","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","GBR","BTSX","80.2","80.24544","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","GEO","MLE","67.4","67.43574","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","GEO","FMLE","76.9","76.92730","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","GEO","BTSX","72.6","72.58078","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","GHA","MLE","62.0","61.96555","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","GHA","FMLE","67.4","67.41139","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","GHA","BTSX","64.5","64.54540","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","GIN","MLE","57.3","57.27705","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","GIN","FMLE","62.3","62.25351","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","GIN","BTSX","61.0","61.00587","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","GMB","MLE","63.4","63.41956","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","GMB","FMLE","67.7","67.65157","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","GMB","BTSX","65.5","65.47120","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","GNB","MLE","57.4","57.35839","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","GNB","FMLE","52.8","52.75846","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","GNB","BTSX","50.3","50.28384","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","GNQ","MLE","52.4","52.37481","","","","",""
